Date,Avg_Temp
01-11-1743,5.468
01-12-1743,
01-01-1744,
01-02-1744,
01-03-1744,
01-04-1744,8.438
01-05-1744,11.498
01-06-1744,14.262
01-07-1744,16.293
01-08-1744,
01-09-1744,13.05
01-10-1744,8.564
01-11-1744,4.164
01-12-1744,0.064
01-01-1745,-2.466
01-02-1745,-1.641
01-03-1745,1.968
01-04-1745,6.816
01-05-1745,
01-06-1745,
01-07-1745,
01-08-1745,
01-09-1745,
01-10-1745,
01-11-1745,
01-12-1745,
01-01-1746,
01-02-1746,
01-03-1746,
01-04-1746,
01-05-1746,
01-06-1746,
01-07-1746,
01-08-1746,
01-09-1746,
01-10-1746,
01-11-1746,
01-12-1746,
01-01-1747,
01-02-1747,
01-03-1747,
01-04-1747,
01-05-1747,
01-06-1747,
01-07-1747,
01-08-1747,
01-09-1747,
01-10-1747,
01-11-1747,
01-12-1747,
01-01-1748,
01-02-1748,
01-03-1748,
01-04-1748,
01-05-1748,
01-06-1748,
01-07-1748,
01-08-1748,
01-09-1748,
01-10-1748,
01-11-1748,
01-12-1748,
01-01-1749,
01-02-1749,
01-03-1749,
01-04-1749,
01-05-1749,
01-06-1749,
01-07-1749,
01-08-1749,
01-09-1749,
01-10-1749,
01-11-1749,
01-12-1749,
01-01-1750,-0.447
01-02-1750,3.333
01-03-1750,6.353
01-04-1750,7.956
01-05-1750,12.218
01-06-1750,15.486
01-07-1750,18.512
01-08-1750,16.788
01-09-1750,13.359
01-10-1750,6.09
01-11-1750,
01-12-1750,-0.223
01-01-1751,-1.12
01-02-1751,-2.51
01-03-1751,5.086
01-04-1751,6.384
01-05-1751,
01-06-1751,16.229
01-07-1751,17.459
01-08-1751,17.454
01-09-1751,12.492
01-10-1751,
01-11-1751,
01-12-1751,
01-01-1752,-1.1
01-02-1752,
01-03-1752,4.302
01-04-1752,7.25
01-05-1752,
01-06-1752,
01-07-1752,
01-08-1752,
01-09-1752,
01-10-1752,8.423
01-11-1752,4.921
01-12-1752,1.646
01-01-1753,-3.234
01-02-1753,-0.367
01-03-1753,4.939
01-04-1753,8.075
01-05-1753,12.392
01-06-1753,16.75
01-07-1753,17.692
01-08-1753,16.026
01-09-1753,13.874
01-10-1753,9.046
01-11-1753,2.312
01-12-1753,-1.155
01-01-1754,-1.733
01-02-1754,-1.735
01-03-1754,0.251
01-04-1754,6.948
01-05-1754,13.333
01-06-1754,15.815
01-07-1754,16.097
01-08-1754,16.853
01-09-1754,13.017
01-10-1754,9.527
01-11-1754,4.297
01-12-1754,0.448
01-01-1755,-5.97
01-02-1755,-4.718
01-03-1755,2.259
01-04-1755,10.475
01-05-1755,12.152
01-06-1755,18.031
01-07-1755,17.555
01-08-1755,15.667
01-09-1755,12.393
01-10-1755,7.818
01-11-1755,3.356
01-12-1755,1.222
01-01-1756,1.733
01-02-1756,2.23
01-03-1756,3.952
01-04-1756,6.467
01-05-1756,11.61
01-06-1756,18.014
01-07-1756,18.377
01-08-1756,16.192
01-09-1756,14.623
01-10-1756,8.259
01-11-1756,1.579
01-12-1756,-2.131
01-01-1757,-3.019
01-02-1757,0.683
01-03-1757,3.577
01-04-1757,8.575
01-05-1757,12.189
01-06-1757,17.345
01-07-1757,20.889
01-08-1757,17.448
01-09-1757,12.169
01-10-1757,4.529
01-11-1757,4.239
01-12-1757,-1.321
01-01-1758,-4.647
01-02-1758,-0.478
01-03-1758,3.308
01-04-1758,6.312
01-05-1758,13.927
01-06-1758,16.734
01-07-1758,15.532
01-08-1758,17.088
01-09-1758,11.781
01-10-1758,6.47
01-11-1758,3.302
01-12-1758,0.624
01-01-1759,1.416
01-02-1759,2.087
01-03-1759,4.29
01-04-1759,7.662
01-05-1759,11.564
01-06-1759,16.699
01-07-1759,19.504
01-08-1759,17.486
01-09-1759,13.549
01-10-1759,9.287
01-11-1759,0.509
01-12-1759,-3.1
01-01-1760,-2.846
01-02-1760,-0.919
01-03-1760,2.051
01-04-1760,8.204
01-05-1760,12.8
01-06-1760,16.904
01-07-1760,17.651
01-08-1760,16.83
01-09-1760,14.6
01-10-1760,8.617
01-11-1760,3.767
01-12-1760,2.903
01-01-1761,-1.521
01-02-1761,2.105
01-03-1761,5.738
01-04-1761,7.406
01-05-1761,14.157
01-06-1761,17.556
01-07-1761,17.424
01-08-1761,18.497
01-09-1761,15.239
01-10-1761,6.216
01-11-1761,3.314
01-12-1761,-2.977
01-01-1762,0.749
